,HO_BASE_TOT,HO_BASE_MN,HO_BASE_WMN,HO_HISH_TOT,HO_HISH_MN,HO_HISH_WMN,HO_NUMR_TOT,HO_NUMR_MN,HO_NUMR_WMN,IW_HADI_TOT,IW_HADI_MN,IW_HADI_WMN,IW_HADI_HGH,IW_HADI_LW,IW_HNFW_TOT,IW_HNFW_MN,IW_HNFW_WMN,JE_EMPL_TOT,JE_EMPL_MN,JE_EMPL_WMN,JE_EMPL_HGH,JE_EMPL_LW,JE_JT_TOT,JE_JT_MN,JE_JT_WMN,JE_LTUR_TOT,JE_LTUR_MN,JE_LTUR_WMN,JE_LTUR_HGH,JE_LTUR_LW,JE_PEARN_TOT,JE_PEARN_MN,JE_PEARN_WMN,JE_PEARN_HGH,JE_PEARN_LW,SC_SNTWS_TOT,SC_SNTWS_MN,SC_SNTWS_WMN,SC_SNTWS_HGH,SC_SNTWS_LW,ES_EDUA_TOT,ES_EDUA_MN,ES_EDUA_WMN,ES_STCS_TOT,ES_STCS_MN,ES_STCS_WMN,ES_STCS_HGH,ES_STCS_LW,ES_EDUEX_TOT,ES_EDUEX_MN,ES_EDUEX_WMN,EQ_AIRP_TOT,EQ_AIRP_MN,EQ_AIRP_WMN,EQ_WATER_TOT,EQ_WATER_MN,EQ_WATER_WMN,CG_TRASG_TOT,CG_TRASG_MN,CG_TRASG_WMN,CG_VOTO_TOT,CG_VOTO_MN,CG_VOTO_WMN,CG_VOTO_HGH,CG_VOTO_LW,HS_LEB_TOT,HS_LEB_MN,HS_LEB_WMN,HS_SFRH_TOT,HS_SFRH_MN,HS_SFRH_WMN,HS_SFRH_HGH,HS_SFRH_LW,SW_LIFS_TOT,SW_LIFS_MN,SW_LIFS_WMN,SW_LIFS_HGH,SW_LIFS_LW,PS_SFRV_TOT,PS_SFRV_MN,PS_SFRV_WMN,PS_REPH_TOT,PS_REPH_MN,PS_REPH_WMN,WL_EWLH_TOT,WL_EWLH_MN,WL_EWLH_WMN,WL_TNOW_TOT,GDP
Hungary,4.8,4.8,4.8,20.0,20.0,20.0,1.1,1.1,1.1,15442.0,15442.0,15442.0,28707.0,6335.0,13277.0,13277.0,13277.0,58.0,64.0,53.0,79.0,27.0,5.7,5.7,5.8,5.1,5.17,5.0175948219999995,2.04,12.14,20948.0,23000.0,18765.0,25748.0,10834.0,87.0,87.0,87.0,92.0,82.0,82.0,85.0,80.0,487.0,482.0,491.0,549.0,428.0,17.6,17.3,17.8,15.0,15.0,15.0,77.0,75.0,78.0,7.9,7.9,7.9,62.0,63.0,61.0,70.0,51.0,75.2,71.6,78.7,57.0,61.0,53.0,69.0,53.0,4.9,5.1,4.8,6.1,4.5,3.6,3.4,3.8,1.3,1.7,1.0,3.19,4.74,1.51,15.04,12239.894
Iceland,0.4,0.4,0.4,24.0,24.0,24.0,1.5,1.5,1.5,23965.0,23965.0,23965.0,41615.0,11616.0,43045.0,43045.0,43045.0,82.0,84.0,80.0,90.0,71.0,4.1,4.3,3.9,1.18,1.27,1.084049828,0.8,1.55,55716.0,62276.0,47790.0,63415.0,32071.0,96.0,95.0,96.0,96.0,96.0,71.0,73.0,69.0,484.0,475.0,495.0,518.0,454.0,19.8,19.0,20.6,18.0,18.0,18.0,97.0,97.0,98.0,5.1,5.1,5.1,81.0,81.0,82.0,84.0,74.0,83.0,81.6,84.3,77.0,79.0,74.0,82.0,73.0,7.5,7.4,7.6,7.8,7.4,2.7,3.0,2.3,0.3,0.6,0.0,12.25,17.27,6.51,14.61,50854.583
Ireland,0.2,0.2,0.2,19.0,19.0,19.0,2.1,2.1,2.1,23917.0,23917.0,23917.0,45580.0,9755.0,31580.0,31580.0,31580.0,60.0,65.0,56.0,79.0,35.0,5.9,5.8,6.0,8.39,10.65,5.609297842999999,4.42,13.46,49506.0,53215.0,43047.0,62359.0,29854.0,96.0,96.0,96.0,96.0,93.0,75.0,72.0,77.0,516.0,514.0,517.0,565.0,469.0,17.6,17.6,17.5,13.0,13.0,13.0,80.0,81.0,78.0,9.0,9.0,9.0,70.0,73.0,67.0,69.0,67.0,81.0,78.7,83.2,82.0,83.0,81.0,91.0,77.0,7.0,7.0,7.0,7.2,6.8,2.6,2.1,3.1,0.8,1.4,0.2,4.2,6.7,1.85,15.19,51350.744
Italy,1.1,1.1,1.1,24.0,24.0,24.0,1.4,1.4,1.4,25166.0,25166.0,25166.0,49466.0,8903.0,54987.0,54987.0,54987.0,56.0,66.0,47.0,76.0,42.0,5.9,5.6,6.4,6.94,6.53,7.5043155729999995,4.23,9.21,34561.0,36634.0,31353.0,41189.0,24339.0,90.0,89.0,90.0,92.0,87.0,57.0,56.0,59.0,490.0,487.0,493.0,531.0,448.0,16.8,16.4,17.3,21.0,21.0,21.0,71.0,70.0,71.0,5.0,5.0,5.0,75.0,77.0,73.0,85.0,73.0,82.3,79.8,84.8,66.0,70.0,62.0,74.0,63.0,6.0,6.2,5.9,6.6,5.7,4.7,5.4,4.1,0.7,1.1,0.4,3.66,5.05,1.97,14.98,29866.581
Japan,6.4,6.4,6.4,22.0,22.0,22.0,1.8,1.8,1.8,26111.0,26111.0,26111.0,52240.0,8442.0,86764.0,86764.0,86764.0,72.0,81.0,62.0,81.0,70.0,2.4,2.2,2.6,1.67,2.12,1.0756405409999998,1.33,2.1,35405.0,39033.0,27850.0,45463.0,22294.0,89.0,85.0,91.0,91.0,84.0,94.0,94.0,93.0,540.0,541.0,540.0,578.0,502.0,16.3,15.8,15.5,24.0,24.0,24.0,85.0,84.0,85.0,7.3,7.3,7.3,53.0,53.0,52.0,52.0,52.0,83.2,79.9,86.4,30.0,32.0,29.0,35.0,24.0,5.9,5.7,6.1,6.3,5.6,1.4,1.2,1.5,0.3,0.3,0.3,22.26,28.97,13.41,14.93,32485.545
Korea,4.2,4.2,4.2,16.0,16.0,16.0,1.4,1.4,1.4,19510.0,19510.0,19510.0,38799.0,7004.0,29091.0,29091.0,29091.0,64.0,75.0,54.0,77.0,44.0,3.2,3.4,2.9,0.01,0.02,0.006482081999999999,0.01,0.01,36354.0,41373.0,26725.0,51137.0,17950.0,72.0,71.0,74.0,83.0,53.0,82.0,87.0,78.0,542.0,542.0,543.0,580.0,509.0,17.5,18.2,16.7,30.0,30.0,30.0,78.0,79.0,77.0,10.4,10.4,10.4,76.0,78.0,74.0,100.0,71.0,81.3,77.9,84.6,35.0,39.0,32.0,42.0,31.0,5.8,5.5,6.0,6.3,5.0,2.1,1.9,2.2,1.1,1.2,1.0,18.72,25.09,10.79,14.63,27195.197
Luxembourg,0.1,0.1,0.1,21.0,21.0,21.0,2.0,2.0,2.0,38951.0,38951.0,38951.0,71014.0,17543.0,61765.0,61765.0,61765.0,66.0,72.0,59.0,83.0,43.0,4.3,4.0,4.7,1.78,1.65,1.943470073,1.1,3.13,56021.0,57792.0,49774.0,71770.0,33270.0,87.0,90.0,85.0,92.0,78.0,80.0,76.0,490.0,491.0,488.0,550.0,429.0,15.1,15.0,15.2,12.0,12.0,12.0,86.0,87.0,86.0,6.0,6.0,6.0,91.0,92.0,91.0,94.0,91.0,81.5,79.1,83.8,72.0,74.0,70.0,80.0,67.0,6.9,6.9,6.9,7.4,6.6,4.3,4.7,3.9,0.4,0.8,0.0,3.47,4.76,1.86,15.12,15.27,101994.093
Mexico,4.2,4.2,4.2,21.0,21.0,21.0,1.0,1.0,1.0,13085.0,13085.0,13085.0,34624.0,2534.0,9056.0,9056.0,9056.0,61.0,78.0,45.0,71.0,59.0,4.9,4.9,4.8,0.08,0.07,0.086765421,0.09,0.07,16193.0,16849.0,14621.0,19464.0,9053.0,77.0,73.0,80.0,79.0,77.0,37.0,39.0,36.0,417.0,417.0,418.0,456.0,386.0,14.4,14.3,14.4,30.0,30.0,30.0,67.0,68.0,66.0,9.0,9.0,9.0,63.0,65.0,61.0,63.0,61.0,74.6,71.7,77.4,66.0,67.0,64.0,79.0,58.0,6.7,6.6,6.8,7.7,6.1,12.8,13.5,12.1,23.4,44.5,4.8,28.83,35.39,18.17,13.89,9009.28
Netherlands,0.0,0.0,0.0,19.0,19.0,19.0,2.0,2.0,2.0,27888.0,27888.0,27888.0,51331.0,12388.0,77961.0,77961.0,77961.0,74.0,79.0,70.0,87.0,58.0,4.5,4.7,4.2,2.4,2.56,2.208210809,1.37,3.78,47590.0,49210.0,39273.0,59672.0,30678.0,90.0,92.0,89.0,92.0,73.0,75.0,72.0,519.0,517.0,521.0,564.0,473.0,18.7,18.7,18.7,30.0,30.0,30.0,92.0,94.0,90.0,6.1,6.1,6.1,75.0,73.0,76.0,84.0,65.0,81.2,79.3,83.0,76.0,80.0,72.0,84.0,66.0,7.3,7.3,7.3,7.6,4.9,6.5,3.5,0.9,1.2,0.6,0.45,0.76,0.12,15.44,15.57,15.23,43603.115
New Zealand,0.2,0.2,0.2,23.0,23.0,23.0,2.4,2.4,2.4,23815.0,23815.0,23815.0,47713.0,9197.0,28290.0,28290.0,28290.0,73.0,78.0,68.0,85.0,59.0,5.1,4.4,5.8,0.75,0.76,0.7343215240000001,0.51,1.15,35609.0,35609.0,31498.0,43175.0,20953.0,94.0,94.0,94.0,95.0,92.0,74.0,75.0,74.0,509.0,507.0,512.0,572.0,448.0,18.1,17.5,18.6,11.0,11.0,11.0,89.0,90.0,89.0,10.3,10.3,10.3,77.0,78.0,76.0,84.0,77.0,81.5,79.7,83.2,90.0,90.0,90.0,94.0,87.0,7.3,7.3,7.3,7.5,7.1,2.2,3.2,1.4,1.2,1.5,1.0,13.87,19.97,7.47,14.87,37044.891
